# music conformance fixture - regenerate with npm run goldens
# scales: name,degree;degree;...
chromatic,0;1;2;3;4;5;6;7;8;9;10;11
major,0;2;4;5;7;9;11
minor,0;2;3;5;7;8;10
dorian,0;2;3;5;7;9;10
mixolydian,0;2;4;5;7;9;10
lydian,0;2;4;6;7;9;11
phrygian,0;1;3;5;7;8;10
harmonicMinor,0;2;3;5;7;8;11
majorPentatonic,0;2;4;7;9
minorPentatonic,0;3;5;7;10
blues,0;3;5;6;7;10
# snapToScale: scale,root,note,result
phrygian,5,12,12
phrygian,5,47,48
phrygian,5,60,60
phrygian,5,61,60
phrygian,5,66,65
phrygian,5,71,72
phrygian,5,127,128
phrygian,5,128,128
phrygian,5,140,140
phrygian,7,-13,-14
phrygian,7,-1,-2
phrygian,7,0,-2
phrygian,7,1,2
phrygian,7,11,10
phrygian,7,12,10
phrygian,7,47,46
phrygian,7,60,58
phrygian,7,61,62
phrygian,7,66,67
phrygian,7,71,70
phrygian,7,127,127
phrygian,7,128,127
phrygian,7,140,139
phrygian,11,-13,-13
phrygian,11,-1,-1
phrygian,11,0,-1
phrygian,11,1,2
phrygian,11,11,11
phrygian,11,12,11
phrygian,11,47,47
phrygian,11,60,59
phrygian,11,61,62
phrygian,11,66,66
phrygian,11,71,71
phrygian,11,127,126
phrygian,11,128,126
phrygian,11,140,138
harmonicMinor,0,-13,-12
harmonicMinor,0,-1,0
harmonicMinor,0,0,0
harmonicMinor,0,1,0
harmonicMinor,0,11,12
harmonicMinor,0,12,12
harmonicMinor,0,47,48
harmonicMinor,0,60,60
harmonicMinor,0,61,60
harmonicMinor,0,66,67
harmonicMinor,0,71,72
harmonicMinor,0,127,127
harmonicMinor,0,128,127
harmonicMinor,0,140,139
harmonicMinor,1,-13,-11
harmonicMinor,1,-1,1
harmonicMinor,1,0,1
harmonicMinor,1,1,1
harmonicMinor,1,11,13
harmonicMinor,1,12,13
harmonicMinor,1,47,49
harmonicMinor,1,60,61
harmonicMinor,1,61,61
harmonicMinor,1,66,64
harmonicMinor,1,71,73
harmonicMinor,1,127,128
harmonicMinor,1,128,128
harmonicMinor,1,140,140
harmonicMinor,5,-13,-12
harmonicMinor,5,-1,0
harmonicMinor,5,0,0
harmonicMinor,5,1,0
harmonicMinor,5,11,12
harmonicMinor,5,12,12
harmonicMinor,5,47,48
harmonicMinor,5,60,60
harmonicMinor,5,61,60
harmonicMinor,5,66,65
harmonicMinor,5,71,72
harmonicMinor,5,127,128
harmonicMinor,5,128,128
harmonicMinor,5,140,140
harmonicMinor,7,-13,-14
harmonicMinor,7,-1,-2
harmonicMinor,7,0,-2
harmonicMinor,7,1,2
harmonicMinor,7,11,10
harmonicMinor,7,12,10
harmonicMinor,7,47,46
harmonicMinor,7,60,58
harmonicMinor,7,61,62
harmonicMinor,7,66,67
harmonicMinor,7,71,70
harmonicMinor,7,127,127
harmonicMinor,7,128,127
harmonicMinor,7,140,139
harmonicMinor,11,-13,-13
harmonicMinor,11,-1,-1
harmonicMinor,11,0,-1
harmonicMinor,11,1,2
harmonicMinor,11,11,11
harmonicMinor,11,12,11
harmonicMinor,11,47,47
harmonicMinor,11,60,59
harmonicMinor,11,61,62
harmonicMinor,11,66,66
harmonicMinor,11,71,71
harmonicMinor,11,127,126
harmonicMinor,11,128,126
harmonicMinor,11,140,138
majorPentatonic,0,-13,-12
majorPentatonic,0,-1,0
majorPentatonic,0,0,0
majorPentatonic,0,1,0
majorPentatonic,0,11,12
majorPentatonic,0,12,12
majorPentatonic,0,47,48
majorPentatonic,0,60,60
majorPentatonic,0,61,60
majorPentatonic,0,66,64
majorPentatonic,0,71,72
majorPentatonic,0,127,129
majorPentatonic,0,128,129
majorPentatonic,0,140,141
majorPentatonic,1,-13,-14
majorPentatonic,1,-1,-2
majorPentatonic,1,0,1
majorPentatonic,1,1,1
majorPentatonic,1,11,10
majorPentatonic,1,12,13
majorPentatonic,1,47,46
majorPentatonic,1,60,61
majorPentatonic,1,61,61
majorPentatonic,1,66,65
majorPentatonic,1,71,70
majorPentatonic,1,127,125
majorPentatonic,1,128,130
majorPentatonic,1,140,142
majorPentatonic,5,-13,-15
majorPentatonic,5,-1,-3
majorPentatonic,5,0,2
majorPentatonic,5,1,2
majorPentatonic,5,11,9
majorPentatonic,5,12,14
majorPentatonic,5,47,45
majorPentatonic,5,60,62
majorPentatonic,5,61,62
majorPentatonic,5,66,65
majorPentatonic,5,71,69
majorPentatonic,5,127,125
majorPentatonic,5,128,129
majorPentatonic,5,140,141
majorPentatonic,7,-13,-13
majorPentatonic,7,-1,-1
majorPentatonic,7,0,-1
majorPentatonic,7,1,-1
majorPentatonic,7,11,11
majorPentatonic,7,12,11
majorPentatonic,7,47,47
majorPentatonic,7,60,59
majorPentatonic,7,61,59
majorPentatonic,7,66,67
majorPentatonic,7,71,71
majorPentatonic,7,127,127
majorPentatonic,7,128,127
majorPentatonic,7,140,139
majorPentatonic,11,-13,-13
majorPentatonic,11,-1,-1
majorPentatonic,11,0,-1
majorPentatonic,11,1,-1
majorPentatonic,11,11,11
majorPentatonic,11,12,11
majorPentatonic,11,47,47
majorPentatonic,11,60,59
majorPentatonic,11,61,59
majorPentatonic,11,66,68
majorPentatonic,11,71,71
majorPentatonic,11,127,128
majorPentatonic,11,128,128
majorPentatonic,11,140,140
minorPentatonic,0,-13,-12
minorPentatonic,0,-1,0
minorPentatonic,0,0,0
minorPentatonic,0,1,0
minorPentatonic,0,11,12
minorPentatonic,0,12,12
minorPentatonic,0,47,48
minorPentatonic,0,60,60
minorPentatonic,0,61,60
minorPentatonic,0,66,65
minorPentatonic,0,71,72
minorPentatonic,0,127,125
minorPentatonic,0,128,130
minorPentatonic,0,140,142
minorPentatonic,1,-13,-13
minorPentatonic,1,-1,-1
minorPentatonic,1,0,1
minorPentatonic,1,1,1
minorPentatonic,1,11,11
minorPentatonic,1,12,13
minorPentatonic,1,47,47
minorPentatonic,1,60,61
minorPentatonic,1,61,61
minorPentatonic,1,66,66
minorPentatonic,1,71,71
minorPentatonic,1,127,126
minorPentatonic,1,128,126
minorPentatonic,1,140,138
minorPentatonic,5,-13,-14
minorPentatonic,5,-1,-2
minorPentatonic,5,0,-2
minorPentatonic,5,1,3
minorPentatonic,5,11,10
minorPentatonic,5,12,10
minorPentatonic,5,47,46
minorPentatonic,5,60,58
minorPentatonic,5,61,63
minorPentatonic,5,66,65
minorPentatonic,5,71,70
minorPentatonic,5,127,125
minorPentatonic,5,128,130
minorPentatonic,5,140,142
minorPentatonic,7,-13,-12
minorPentatonic,7,-1,0
minorPentatonic,7,0,0
minorPentatonic,7,1,0
minorPentatonic,7,11,12
minorPentatonic,7,12,12
minorPentatonic,7,47,48
minorPentatonic,7,60,60
minorPentatonic,7,61,60
minorPentatonic,7,66,67
minorPentatonic,7,71,72
minorPentatonic,7,127,127
minorPentatonic,7,128,127
minorPentatonic,7,140,139
minorPentatonic,11,-13,-13
minorPentatonic,11,-1,-1
minorPentatonic,11,0,-1
minorPentatonic,11,1,-1
minorPentatonic,11,11,11
minorPentatonic,11,12,11
minorPentatonic,11,47,47
minorPentatonic,11,60,59
minorPentatonic,11,61,59
minorPentatonic,11,66,64
minorPentatonic,11,71,71
minorPentatonic,11,127,129
minorPentatonic,11,128,129
minorPentatonic,11,140,141
blues,0,-13,-12
blues,0,-1,0
blues,0,0,0
blues,0,1,0
blues,0,11,12
blues,0,12,12
blues,0,47,48
blues,0,60,60
blues,0,61,60
blues,0,66,65
blues,0,71,72
blues,0,127,127
blues,0,128,127
blues,0,140,139
blues,1,-13,-11
blues,1,-1,1
blues,1,0,1
blues,1,1,1
blues,1,11,13
blues,1,12,13
blues,1,47,49
blues,1,60,61
blues,1,61,61
blues,1,66,66
blues,1,71,73
blues,1,127,126
blues,1,128,128
blues,1,140,140
blues,5,-13,-14
blues,5,-1,-2
blues,5,0,0
blues,5,1,0
blues,5,11,10
blues,5,12,12
blues,5,47,46
blues,5,60,60
blues,5,61,60
blues,5,66,65
blues,5,71,70
blues,5,127,125
blues,5,128,130
blues,5,140,142
blues,7,-13,-12
blues,7,-1,0
blues,7,0,0
blues,7,1,0
blues,7,11,12
blues,7,12,12
blues,7,47,48
blues,7,60,60
blues,7,61,60
blues,7,66,67
blues,7,71,72
blues,7,127,127
blues,7,128,127
blues,7,140,139
blues,11,-13,-13
blues,11,-1,-1
blues,11,0,-1
blues,11,1,-1
blues,11,11,11
blues,11,12,11
blues,11,47,47
blues,11,60,59
blues,11,61,59
blues,11,66,66
blues,11,71,71
blues,11,127,126
blues,11,128,126
blues,11,140,138
# diatonicTranspose: scale,root,note,steps,result
chromatic,0,-1,-14,-15
chromatic,0,-1,-7,-8
chromatic,0,-1,-3,-4
chromatic,0,-1,-1,-2
chromatic,0,-1,0,-1
chromatic,0,-1,1,0
chromatic,0,-1,2,1
chromatic,0,-1,3,2
chromatic,0,-1,7,6
chromatic,0,-1,14,13
chromatic,0,0,-14,-14
chromatic,0,0,-7,-7
chromatic,0,0,-3,-3
chromatic,0,0,-1,-1
chromatic,0,0,0,0
chromatic,0,0,1,1
chromatic,0,0,2,2
chromatic,0,0,3,3
chromatic,0,0,7,7
chromatic,0,0,14,14
chromatic,0,60,-14,46
chromatic,0,60,-7,53
chromatic,0,60,-3,57
chromatic,0,60,-1,59
chromatic,0,60,0,60
chromatic,0,60,1,61
chromatic,0,60,2,62
chromatic,0,60,3,63
chromatic,0,60,7,67
chromatic,0,60,14,74
chromatic,0,61,-14,47
chromatic,0,61,-7,54
chromatic,0,61,-3,58
chromatic,0,61,-1,60
chromatic,0,61,0,61
chromatic,0,61,1,62
chromatic,0,61,2,63
chromatic,0,61,3,64
chromatic,0,61,7,68
chromatic,0,61,14,75
chromatic,0,127,-14,113
chromatic,0,127,-7,120
chromatic,0,127,-3,124
chromatic,0,127,-1,126
chromatic,0,127,0,127
chromatic,0,127,1,128
chromatic,0,127,2,129
chromatic,0,127,3,130
chromatic,0,127,7,134
chromatic,0,127,14,141
chromatic,7,-1,-14,-15
chromatic,7,-1,-7,-8
chromatic,7,-1,-3,-4
chromatic,7,-1,-1,-2
chromatic,7,-1,0,-1
chromatic,7,-1,1,0
chromatic,7,-1,2,1
chromatic,7,-1,3,2
chromatic,7,-1,7,6
chromatic,7,-1,14,13
chromatic,7,0,-14,-14
chromatic,7,0,-7,-7
chromatic,7,0,-3,-3
chromatic,7,0,-1,-1
chromatic,7,0,0,0
chromatic,7,0,1,1
chromatic,7,0,2,2
chromatic,7,0,3,3
chromatic,7,0,7,7
chromatic,7,0,14,14
chromatic,7,60,-14,46
chromatic,7,60,-7,53
chromatic,7,60,-3,57
chromatic,7,60,-1,59
chromatic,7,60,0,60
chromatic,7,60,1,61
chromatic,7,60,2,62
chromatic,7,60,3,63
chromatic,7,60,7,67
chromatic,7,60,14,74
chromatic,7,61,-14,47
chromatic,7,61,-7,54
chromatic,7,61,-3,58
chromatic,7,61,-1,60
chromatic,7,61,0,61
chromatic,7,61,1,62
chromatic,7,61,2,63
chromatic,7,61,3,64
chromatic,7,61,7,68
chromatic,7,61,14,75
chromatic,7,127,-14,113
chromatic,7,127,-7,120
chromatic,7,127,-3,124
chromatic,7,127,-1,126
chromatic,7,127,0,127
chromatic,7,127,1,128
chromatic,7,127,2,129
chromatic,7,127,3,130
chromatic,7,127,7,134
chromatic,7,127,14,141
major,0,-1,-14,-25
major,0,-1,-7,-13
major,0,-1,-3,-7
major,0,-1,-1,-3
major,0,-1,0,-1
major,0,-1,1,0
major,0,-1,2,2
major,0,-1,3,4
major,0,-1,7,11
major,0,-1,14,23
major,0,0,-14,-24
major,0,0,-7,-12
major,0,0,-3,-5
major,0,0,-1,-1
major,0,0,0,0
major,0,0,1,2
major,0,0,2,4
major,0,0,3,5
major,0,0,7,12
major,0,0,14,24
major,0,60,-14,36
major,0,60,-7,48
major,0,60,-3,55
major,0,60,-1,59
major,0,60,0,60
major,0,60,1,62
major,0,60,2,64
major,0,60,3,65
major,0,60,7,72
major,0,60,14,84
major,0,61,-14,36
major,0,61,-7,48
major,0,61,-3,55
major,0,61,-1,59
major,0,61,0,60
major,0,61,1,62
major,0,61,2,64
major,0,61,3,65
major,0,61,7,72
major,0,61,14,84
major,0,127,-14,103
major,0,127,-7,115
major,0,127,-3,122
major,0,127,-1,125
major,0,127,0,127
major,0,127,1,129
major,0,127,2,131
major,0,127,3,132
major,0,127,7,139
major,0,127,14,151
major,7,-1,-14,-25
major,7,-1,-7,-13
major,7,-1,-3,-6
major,7,-1,-1,-3
major,7,-1,0,-1
major,7,-1,1,0
major,7,-1,2,2
major,7,-1,3,4
major,7,-1,7,11
major,7,-1,14,23
major,7,0,-14,-24
major,7,0,-7,-12
major,7,0,-3,-5
major,7,0,-1,-1
major,7,0,0,0
major,7,0,1,2
major,7,0,2,4
major,7,0,3,6
major,7,0,7,12
major,7,0,14,24
major,7,60,-14,36
major,7,60,-7,48
major,7,60,-3,55
major,7,60,-1,59
major,7,60,0,60
major,7,60,1,62
major,7,60,2,64
major,7,60,3,66
major,7,60,7,72
major,7,60,14,84
major,7,61,-14,36
major,7,61,-7,48
major,7,61,-3,55
major,7,61,-1,59
major,7,61,0,60
major,7,61,1,62
major,7,61,2,64
major,7,61,3,66
major,7,61,7,72
major,7,61,14,84
major,7,127,-14,103
major,7,127,-7,115
major,7,127,-3,122
major,7,127,-1,126
major,7,127,0,127
major,7,127,1,129
major,7,127,2,131
major,7,127,3,132
major,7,127,7,139
major,7,127,14,151
minor,0,-1,-14,-24
minor,0,-1,-7,-12
minor,0,-1,-3,-5
minor,0,-1,-1,-2
minor,0,-1,0,0
minor,0,-1,1,2
minor,0,-1,2,3
minor,0,-1,3,5
minor,0,-1,7,12
minor,0,-1,14,24
minor,0,0,-14,-24
minor,0,0,-7,-12
minor,0,0,-3,-5
minor,0,0,-1,-2
minor,0,0,0,0
minor,0,0,1,2
minor,0,0,2,3
minor,0,0,3,5
minor,0,0,7,12
minor,0,0,14,24
minor,0,60,-14,36
minor,0,60,-7,48
minor,0,60,-3,55
minor,0,60,-1,58
minor,0,60,0,60
minor,0,60,1,62
minor,0,60,2,63
minor,0,60,3,65
minor,0,60,7,72
minor,0,60,14,84
minor,0,61,-14,36
minor,0,61,-7,48
minor,0,61,-3,55
minor,0,61,-1,58
minor,0,61,0,60
minor,0,61,1,62
minor,0,61,2,63
minor,0,61,3,65
minor,0,61,7,72
minor,0,61,14,84
minor,0,127,-14,103
minor,0,127,-7,115
minor,0,127,-3,122
minor,0,127,-1,125
minor,0,127,0,127
minor,0,127,1,128
minor,0,127,2,130
minor,0,127,3,132
minor,0,127,7,139
minor,0,127,14,151
minor,7,-1,-14,-26
minor,7,-1,-7,-14
minor,7,-1,-3,-7
minor,7,-1,-1,-3
minor,7,-1,0,-2
minor,7,-1,1,0
minor,7,-1,2,2
minor,7,-1,3,3
minor,7,-1,7,10
minor,7,-1,14,22
minor,7,0,-14,-24
minor,7,0,-7,-12
minor,7,0,-3,-5
minor,7,0,-1,-2
minor,7,0,0,0
minor,7,0,1,2
minor,7,0,2,3
minor,7,0,3,5
minor,7,0,7,12
minor,7,0,14,24
minor,7,60,-14,36
minor,7,60,-7,48
minor,7,60,-3,55
minor,7,60,-1,58
minor,7,60,0,60
minor,7,60,1,62
minor,7,60,2,63
minor,7,60,3,65
minor,7,60,7,72
minor,7,60,14,84
minor,7,61,-14,36
minor,7,61,-7,48
minor,7,61,-3,55
minor,7,61,-1,58
minor,7,61,0,60
minor,7,61,1,62
minor,7,61,2,63
minor,7,61,3,65
minor,7,61,7,72
minor,7,61,14,84
minor,7,127,-14,103
minor,7,127,-7,115
minor,7,127,-3,122
minor,7,127,-1,125
minor,7,127,0,127
minor,7,127,1,129
minor,7,127,2,130
minor,7,127,3,132
minor,7,127,7,139
minor,7,127,14,151
dorian,0,-1,-14,-24
dorian,0,-1,-7,-12
dorian,0,-1,-3,-5
dorian,0,-1,-1,-2
dorian,0,-1,0,0
dorian,0,-1,1,2
dorian,0,-1,2,3
dorian,0,-1,3,5
dorian,0,-1,7,12
dorian,0,-1,14,24
dorian,0,0,-14,-24
dorian,0,0,-7,-12
dorian,0,0,-3,-5
dorian,0,0,-1,-2
dorian,0,0,0,0
dorian,0,0,1,2
dorian,0,0,2,3
dorian,0,0,3,5
dorian,0,0,7,12
dorian,0,0,14,24
dorian,0,60,-14,36
dorian,0,60,-7,48
dorian,0,60,-3,55
dorian,0,60,-1,58
dorian,0,60,0,60
dorian,0,60,1,62
dorian,0,60,2,63
dorian,0,60,3,65
dorian,0,60,7,72
dorian,0,60,14,84
dorian,0,61,-14,36
dorian,0,61,-7,48
dorian,0,61,-3,55
dorian,0,61,-1,58
dorian,0,61,0,60
dorian,0,61,1,62
dorian,0,61,2,63
dorian,0,61,3,65
dorian,0,61,7,72
dorian,0,61,14,84
dorian,0,127,-14,103
dorian,0,127,-7,115
dorian,0,127,-3,122
dorian,0,127,-1,125
dorian,0,127,0,127
dorian,0,127,1,129
dorian,0,127,2,130
dorian,0,127,3,132
dorian,0,127,7,139
dorian,0,127,14,151
dorian,7,-1,-14,-26
dorian,7,-1,-7,-14
dorian,7,-1,-3,-7
dorian,7,-1,-1,-3
dorian,7,-1,0,-2
dorian,7,-1,1,0
dorian,7,-1,2,2
dorian,7,-1,3,4
dorian,7,-1,7,10
dorian,7,-1,14,22
dorian,7,0,-14,-24
dorian,7,0,-7,-12
dorian,7,0,-3,-5
dorian,7,0,-1,-2
dorian,7,0,0,0
dorian,7,0,1,2
dorian,7,0,2,4
dorian,7,0,3,5
dorian,7,0,7,12
dorian,7,0,14,24
dorian,7,60,-14,36
dorian,7,60,-7,48
dorian,7,60,-3,55
dorian,7,60,-1,58
dorian,7,60,0,60
dorian,7,60,1,62
dorian,7,60,2,64
dorian,7,60,3,65
dorian,7,60,7,72
dorian,7,60,14,84
dorian,7,61,-14,36
dorian,7,61,-7,48
dorian,7,61,-3,55
dorian,7,61,-1,58
dorian,7,61,0,60
dorian,7,61,1,62
dorian,7,61,2,64
dorian,7,61,3,65
dorian,7,61,7,72
dorian,7,61,14,84
dorian,7,127,-14,103
dorian,7,127,-7,115
dorian,7,127,-3,122
dorian,7,127,-1,125
dorian,7,127,0,127
dorian,7,127,1,129
dorian,7,127,2,130
dorian,7,127,3,132
dorian,7,127,7,139
dorian,7,127,14,151
mixolydian,0,-1,-14,-24
mixolydian,0,-1,-7,-12
mixolydian,0,-1,-3,-5
mixolydian,0,-1,-1,-2
mixolydian,0,-1,0,0
mixolydian,0,-1,1,2
mixolydian,0,-1,2,4
mixolydian,0,-1,3,5
mixolydian,0,-1,7,12
mixolydian,0,-1,14,24
mixolydian,0,0,-14,-24
mixolydian,0,0,-7,-12
mixolydian,0,0,-3,-5
mixolydian,0,0,-1,-2
mixolydian,0,0,0,0
mixolydian,0,0,1,2
mixolydian,0,0,2,4
mixolydian,0,0,3,5
mixolydian,0,0,7,12
mixolydian,0,0,14,24
mixolydian,0,60,-14,36
mixolydian,0,60,-7,48
mixolydian,0,60,-3,55
mixolydian,0,60,-1,58
mixolydian,0,60,0,60
mixolydian,0,60,1,62
mixolydian,0,60,2,64
mixolydian,0,60,3,65
mixolydian,0,60,7,72
mixolydian,0,60,14,84
mixolydian,0,61,-14,36
mixolydian,0,61,-7,48
mixolydian,0,61,-3,55
mixolydian,0,61,-1,58
mixolydian,0,61,0,60
mixolydian,0,61,1,62
mixolydian,0,61,2,64
mixolydian,0,61,3,65
mixolydian,0,61,7,72
mixolydian,0,61,14,84
mixolydian,0,127,-14,103
mixolydian,0,127,-7,115
mixolydian,0,127,-3,122
mixolydian,0,127,-1,125
mixolydian,0,127,0,127
mixolydian,0,127,1,129
mixolydian,0,127,2,130
mixolydian,0,127,3,132
mixolydian,0,127,7,139
mixolydian,0,127,14,151
mixolydian,7,-1,-14,-25
mixolydian,7,-1,-7,-13
mixolydian,7,-1,-3,-7
mixolydian,7,-1,-1,-3
mixolydian,7,-1,0,-1
mixolydian,7,-1,1,0
mixolydian,7,-1,2,2
mixolydian,7,-1,3,4
mixolydian,7,-1,7,11
mixolydian,7,-1,14,23
mixolydian,7,0,-14,-24
mixolydian,7,0,-7,-12
mixolydian,7,0,-3,-5
mixolydian,7,0,-1,-1
mixolydian,7,0,0,0
mixolydian,7,0,1,2
mixolydian,7,0,2,4
mixolydian,7,0,3,5
mixolydian,7,0,7,12
mixolydian,7,0,14,24
mixolydian,7,60,-14,36
mixolydian,7,60,-7,48
mixolydian,7,60,-3,55
mixolydian,7,60,-1,59
mixolydian,7,60,0,60
mixolydian,7,60,1,62
mixolydian,7,60,2,64
mixolydian,7,60,3,65
mixolydian,7,60,7,72
mixolydian,7,60,14,84
mixolydian,7,61,-14,36
mixolydian,7,61,-7,48
mixolydian,7,61,-3,55
mixolydian,7,61,-1,59
mixolydian,7,61,0,60
mixolydian,7,61,1,62
mixolydian,7,61,2,64
mixolydian,7,61,3,65
mixolydian,7,61,7,72
mixolydian,7,61,14,84
mixolydian,7,127,-14,103
mixolydian,7,127,-7,115
mixolydian,7,127,-3,122
mixolydian,7,127,-1,125
mixolydian,7,127,0,127
mixolydian,7,127,1,129
mixolydian,7,127,2,131
mixolydian,7,127,3,132
mixolydian,7,127,7,139
mixolydian,7,127,14,151
lydian,0,-1,-14,-25
lydian,0,-1,-7,-13
lydian,0,-1,-3,-6
lydian,0,-1,-1,-3
lydian,0,-1,0,-1
lydian,0,-1,1,0
lydian,0,-1,2,2
lydian,0,-1,3,4
lydian,0,-1,7,11
lydian,0,-1,14,23
lydian,0,0,-14,-24
lydian,0,0,-7,-12
lydian,0,0,-3,-5
lydian,0,0,-1,-1
lydian,0,0,0,0
lydian,0,0,1,2
lydian,0,0,2,4
lydian,0,0,3,6
lydian,0,0,7,12
lydian,0,0,14,24
lydian,0,60,-14,36
lydian,0,60,-7,48
lydian,0,60,-3,55
lydian,0,60,-1,59
lydian,0,60,0,60
lydian,0,60,1,62
lydian,0,60,2,64
lydian,0,60,3,66
lydian,0,60,7,72
lydian,0,60,14,84
lydian,0,61,-14,36
lydian,0,61,-7,48
lydian,0,61,-3,55
lydian,0,61,-1,59
lydian,0,61,0,60
lydian,0,61,1,62
lydian,0,61,2,64
lydian,0,61,3,66
lydian,0,61,7,72
lydian,0,61,14,84
lydian,0,127,-14,103
lydian,0,127,-7,115
lydian,0,127,-3,122
lydian,0,127,-1,126
lydian,0,127,0,127
lydian,0,127,1,129
lydian,0,127,2,131
lydian,0,127,3,132
lydian,0,127,7,139
lydian,0,127,14,151
lydian,7,-1,-14,-25
lydian,7,-1,-7,-13
lydian,7,-1,-3,-6
lydian,7,-1,-1,-3
lydian,7,-1,0,-1
lydian,7,-1,1,1
lydian,7,-1,2,2
lydian,7,-1,3,4
lydian,7,-1,7,11
lydian,7,-1,14,23
lydian,7,0,-14,-25
lydian,7,0,-7,-13
lydian,7,0,-3,-6
lydian,7,0,-1,-3
lydian,7,0,0,-1
lydian,7,0,1,1
lydian,7,0,2,2
lydian,7,0,3,4
lydian,7,0,7,11
lydian,7,0,14,23
lydian,7,60,-14,35
lydian,7,60,-7,47
lydian,7,60,-3,54
lydian,7,60,-1,57
lydian,7,60,0,59
lydian,7,60,1,61
lydian,7,60,2,62
lydian,7,60,3,64
lydian,7,60,7,71
lydian,7,60,14,83
lydian,7,61,-14,37
lydian,7,61,-7,49
lydian,7,61,-3,55
lydian,7,61,-1,59
lydian,7,61,0,61
lydian,7,61,1,62
lydian,7,61,2,64
lydian,7,61,3,66
lydian,7,61,7,73
lydian,7,61,14,85
lydian,7,127,-14,103
lydian,7,127,-7,115
lydian,7,127,-3,122
lydian,7,127,-1,126
lydian,7,127,0,127
lydian,7,127,1,129
lydian,7,127,2,131
lydian,7,127,3,133
lydian,7,127,7,139
lydian,7,127,14,151
phrygian,0,-1,-14,-24
phrygian,0,-1,-7,-12
phrygian,0,-1,-3,-5
phrygian,0,-1,-1,-2
phrygian,0,-1,0,0
phrygian,0,-1,1,1
phrygian,0,-1,2,3
phrygian,0,-1,3,5
phrygian,0,-1,7,12
phrygian,0,-1,14,24
phrygian,0,0,-14,-24
phrygian,0,0,-7,-12
phrygian,0,0,-3,-5
phrygian,0,0,-1,-2
phrygian,0,0,0,0
phrygian,0,0,1,1
phrygian,0,0,2,3
phrygian,0,0,3,5
phrygian,0,0,7,12
phrygian,0,0,14,24
phrygian,0,60,-14,36
phrygian,0,60,-7,48
phrygian,0,60,-3,55
phrygian,0,60,-1,58
phrygian,0,60,0,60
phrygian,0,60,1,61
phrygian,0,60,2,63
phrygian,0,60,3,65
phrygian,0,60,7,72
phrygian,0,60,14,84
phrygian,0,61,-14,37
phrygian,0,61,-7,49
phrygian,0,61,-3,56
phrygian,0,61,-1,60
phrygian,0,61,0,61
phrygian,0,61,1,63
phrygian,0,61,2,65
phrygian,0,61,3,67
phrygian,0,61,7,73
phrygian,0,61,14,85
phrygian,0,127,-14,103
phrygian,0,127,-7,115
phrygian,0,127,-3,121
phrygian,0,127,-1,125
phrygian,0,127,0,127
phrygian,0,127,1,128
phrygian,0,127,2,130
phrygian,0,127,3,132
phrygian,0,127,7,139
phrygian,0,127,14,151
phrygian,7,-1,-14,-26
phrygian,7,-1,-7,-14
phrygian,7,-1,-3,-7
phrygian,7,-1,-1,-4
phrygian,7,-1,0,-2
phrygian,7,-1,1,0
phrygian,7,-1,2,2
phrygian,7,-1,3,3
phrygian,7,-1,7,10
phrygian,7,-1,14,22
phrygian,7,0,-14,-24
phrygian,7,0,-7,-12
phrygian,7,0,-3,-5
phrygian,7,0,-1,-2
phrygian,7,0,0,0
phrygian,7,0,1,2
phrygian,7,0,2,3
phrygian,7,0,3,5
phrygian,7,0,7,12
phrygian,7,0,14,24
phrygian,7,60,-14,36
phrygian,7,60,-7,48
phrygian,7,60,-3,55
phrygian,7,60,-1,58
phrygian,7,60,0,60
phrygian,7,60,1,62
phrygian,7,60,2,63
phrygian,7,60,3,65
phrygian,7,60,7,72
phrygian,7,60,14,84
phrygian,7,61,-14,36
phrygian,7,61,-7,48
phrygian,7,61,-3,55
phrygian,7,61,-1,58
phrygian,7,61,0,60
phrygian,7,61,1,62
phrygian,7,61,2,63
phrygian,7,61,3,65
phrygian,7,61,7,72
phrygian,7,61,14,84
phrygian,7,127,-14,103
phrygian,7,127,-7,115
phrygian,7,127,-3,122
phrygian,7,127,-1,125
phrygian,7,127,0,127
phrygian,7,127,1,128
phrygian,7,127,2,130
phrygian,7,127,3,132
phrygian,7,127,7,139
phrygian,7,127,14,151
harmonicMinor,0,-1,-14,-25
harmonicMinor,0,-1,-7,-13
harmonicMinor,0,-1,-3,-7
harmonicMinor,0,-1,-1,-4
harmonicMinor,0,-1,0,-1
harmonicMinor,0,-1,1,0
harmonicMinor,0,-1,2,2
harmonicMinor,0,-1,3,3
harmonicMinor,0,-1,7,11
harmonicMinor,0,-1,14,23
harmonicMinor,0,0,-14,-24
harmonicMinor,0,0,-7,-12
harmonicMinor,0,0,-3,-5
harmonicMinor,0,0,-1,-1
harmonicMinor,0,0,0,0
harmonicMinor,0,0,1,2
harmonicMinor,0,0,2,3
harmonicMinor,0,0,3,5
harmonicMinor,0,0,7,12
harmonicMinor,0,0,14,24
harmonicMinor,0,60,-14,36
harmonicMinor,0,60,-7,48
harmonicMinor,0,60,-3,55
harmonicMinor,0,60,-1,59
harmonicMinor,0,60,0,60
harmonicMinor,0,60,1,62
harmonicMinor,0,60,2,63
harmonicMinor,0,60,3,65
harmonicMinor,0,60,7,72
harmonicMinor,0,60,14,84
harmonicMinor,0,61,-14,36
harmonicMinor,0,61,-7,48
harmonicMinor,0,61,-3,55
harmonicMinor,0,61,-1,59
harmonicMinor,0,61,0,60
