# transform conformance fixture - regenerate with npm run goldens
# stepDurationSeconds: tempo_bits,numerator_bits,denominator_bits,result_bits
all-cyclic,1,1,9,0,cyclic,10,0
all-cyclic,1,1,10,0,cyclic,11,0
all-cyclic,1,1,11,0,cyclic,12,0
all-cyclic,1,4,0,0,cyclic,1,0
all-cyclic,1,4,1,1,cyclic,2,1
all-cyclic,1,4,2,2,cyclic,3,2
all-cyclic,1,4,3,3,cyclic,4,3
all-cyclic,1,4,4,0,cyclic,5,0
all-cyclic,1,4,5,1,cyclic,6,1
all-cyclic,1,4,6,2,cyclic,7,2
all-cyclic,1,4,7,3,cyclic,8,3
all-cyclic,1,4,8,0,cyclic,9,0
all-cyclic,1,4,9,1,cyclic,10,1
all-cyclic,1,4,10,2,cyclic,11,2
all-cyclic,1,4,11,3,cyclic,12,3
all-cyclic,1,16,0,0,cyclic,1,0
all-cyclic,1,16,1,1,cyclic,2,1
all-cyclic,1,16,2,2,cyclic,3,2
all-cyclic,1,16,3,3,cyclic,4,3
all-cyclic,1,16,4,4,cyclic,5,4
all-cyclic,1,16,5,5,cyclic,6,5
all-cyclic,1,16,6,6,cyclic,7,6
all-cyclic,1,16,7,7,cyclic,8,7
all-cyclic,1,16,8,8,cyclic,9,8
all-cyclic,1,16,9,9,cyclic,10,9
all-cyclic,1,16,10,10,cyclic,11,10
all-cyclic,1,16,11,11,cyclic,12,11
all-cyclic,42,1,0,0,cyclic,1,0
all-cyclic,42,1,1,0,cyclic,2,0
all-cyclic,42,1,2,0,cyclic,3,0
all-cyclic,42,1,3,0,cyclic,4,0
all-cyclic,42,1,4,0,cyclic,5,0
all-cyclic,42,1,5,0,cyclic,6,0
all-cyclic,42,1,6,0,cyclic,7,0
all-cyclic,42,1,7,0,cyclic,8,0
all-cyclic,42,1,8,0,cyclic,9,0
all-cyclic,42,1,9,0,cyclic,10,0
all-cyclic,42,1,10,0,cyclic,11,0
all-cyclic,42,1,11,0,cyclic,12,0
all-cyclic,42,4,0,0,cyclic,1,0
all-cyclic,42,4,1,1,cyclic,2,1
all-cyclic,42,4,2,2,cyclic,3,2
all-cyclic,42,4,3,3,cyclic,4,3
all-cyclic,42,4,4,0,cyclic,5,0
all-cyclic,42,4,5,1,cyclic,6,1
all-cyclic,42,4,6,2,cyclic,7,2
all-cyclic,42,4,7,3,cyclic,8,3
all-cyclic,42,4,8,0,cyclic,9,0
all-cyclic,42,4,9,1,cyclic,10,1
all-cyclic,42,4,10,2,cyclic,11,2
all-cyclic,42,4,11,3,cyclic,12,3
all-cyclic,42,16,0,0,cyclic,1,0
all-cyclic,42,16,1,1,cyclic,2,1
all-cyclic,42,16,2,2,cyclic,3,2
all-cyclic,42,16,3,3,cyclic,4,3
all-cyclic,42,16,4,4,cyclic,5,4
all-cyclic,42,16,5,5,cyclic,6,5
all-cyclic,42,16,6,6,cyclic,7,6
all-cyclic,42,16,7,7,cyclic,8,7
all-cyclic,42,16,8,8,cyclic,9,8
all-cyclic,42,16,9,9,cyclic,10,9
all-cyclic,42,16,10,10,cyclic,11,10
all-cyclic,42,16,11,11,cyclic,12,11
all-utterly,1,1,0,0,utterly,1,0
all-utterly,1,1,1,0,utterly,2,0
all-utterly,1,1,2,0,utterly,3,0
all-utterly,1,1,3,0,utterly,4,0
all-utterly,1,1,4,0,utterly,5,0
all-utterly,1,1,5,0,utterly,6,0
all-utterly,1,1,6,0,utterly,7,0
all-utterly,1,1,7,0,utterly,8,0
all-utterly,1,1,8,0,utterly,9,0
all-utterly,1,1,9,0,utterly,10,0
all-utterly,1,1,10,0,utterly,11,0
all-utterly,1,1,11,0,utterly,12,0
all-utterly,1,4,0,0,utterly,1,0
all-utterly,1,4,1,3,utterly,2,3
all-utterly,1,4,2,0,utterly,3,0
all-utterly,1,4,3,3,utterly,4,3
all-utterly,1,4,4,2,utterly,5,2
all-utterly,1,4,5,1,utterly,6,1
all-utterly,1,4,6,2,utterly,7,2
all-utterly,1,4,7,0,utterly,8,0
all-utterly,1,4,8,1,utterly,9,1
all-utterly,1,4,9,3,utterly,10,3
all-utterly,1,4,10,0,utterly,11,0
all-utterly,1,4,11,2,utterly,12,2
all-utterly,1,16,0,0,utterly,1,0
all-utterly,1,16,1,15,utterly,2,15
all-utterly,1,16,2,4,utterly,3,4
all-utterly,1,16,3,11,utterly,4,11
all-utterly,1,16,4,15,utterly,5,15
all-utterly,1,16,5,7,utterly,6,7
all-utterly,1,16,6,6,utterly,7,6
all-utterly,1,16,7,2,utterly,8,2
all-utterly,1,16,8,1,utterly,9,1
all-utterly,1,16,9,12,utterly,10,12
all-utterly,1,16,10,2,utterly,11,2
all-utterly,1,16,11,7,utterly,12,7
all-utterly,42,1,0,0,utterly,1,0
all-utterly,42,1,1,0,utterly,2,0
all-utterly,42,1,2,0,utterly,3,0
all-utterly,42,1,3,0,utterly,4,0
all-utterly,42,1,4,0,utterly,5,0
all-utterly,42,1,5,0,utterly,6,0
all-utterly,42,1,6,0,utterly,7,0
all-utterly,42,1,7,0,utterly,8,0
all-utterly,42,1,8,0,utterly,9,0
all-utterly,42,1,9,0,utterly,10,0
all-utterly,42,1,10,0,utterly,11,0
all-utterly,42,1,11,0,utterly,12,0
all-utterly,42,4,0,1,utterly,1,1
all-utterly,42,4,1,3,utterly,2,3
all-utterly,42,4,2,1,utterly,3,1
all-utterly,42,4,3,2,utterly,4,2
all-utterly,42,4,4,1,utterly,5,1
all-utterly,42,4,5,3,utterly,6,3
all-utterly,42,4,6,0,utterly,7,0
all-utterly,42,4,7,2,utterly,8,2
all-utterly,42,4,8,1,utterly,9,1
all-utterly,42,4,9,2,utterly,10,2
all-utterly,42,4,10,0,utterly,11,0
all-utterly,42,4,11,1,utterly,12,1
all-utterly,42,16,0,7,utterly,1,7
all-utterly,42,16,1,11,utterly,2,11
all-utterly,42,16,2,7,utterly,3,7
all-utterly,42,16,3,10,utterly,4,10
all-utterly,42,16,4,7,utterly,5,7
all-utterly,42,16,5,14,utterly,6,14
all-utterly,42,16,6,4,utterly,7,4
all-utterly,42,16,7,8,utterly,8,8
all-utterly,42,16,8,10,utterly,9,10
all-utterly,42,16,9,7,utterly,10,7
all-utterly,42,16,10,0,utterly,11,0
all-utterly,42,16,11,1,utterly,12,1
even,1,1,0,0,cyclic,1,0
even,1,1,1,0,original,2,0
even,1,1,2,0,cyclic,3,0
even,1,1,3,0,utterly,4,0
even,1,1,4,0,utterly,5,0
even,1,1,5,0,original,6,0
even,1,1,6,0,cyclic,7,0
even,1,1,7,0,utterly,8,0
even,1,1,8,0,cyclic,9,0
even,1,1,9,0,utterly,10,0
even,1,1,10,0,cyclic,11,0
even,1,1,11,0,cyclic,12,0
even,1,4,0,0,cyclic,1,0
even,1,4,1,1,original,2,1
even,1,4,2,2,cyclic,3,2
even,1,4,3,3,utterly,4,3
even,1,4,4,0,original,5,0
even,1,4,5,1,cyclic,6,1
even,1,4,6,2,utterly,7,2
even,1,4,7,1,utterly,8,1
even,1,4,8,0,cyclic,9,0
even,1,4,9,1,original,10,1
even,1,4,10,2,cyclic,11,2
even,1,4,11,3,original,12,3
even,1,16,0,0,cyclic,1,0
even,1,16,1,1,original,2,1
even,1,16,2,2,cyclic,3,2
even,1,16,3,15,utterly,4,15
even,1,16,4,4,original,5,4
even,1,16,5,5,cyclic,6,5
even,1,16,6,7,utterly,7,7
even,1,16,7,6,utterly,8,6
even,1,16,8,8,cyclic,9,8
even,1,16,9,9,original,10,9
even,1,16,10,10,cyclic,11,10
even,1,16,11,11,original,12,11
even,42,1,0,0,cyclic,1,0
even,42,1,1,0,cyclic,2,0
even,42,1,2,0,utterly,3,0
even,42,1,3,0,cyclic,4,0
even,42,1,4,0,original,5,0
even,42,1,5,0,cyclic,6,0
even,42,1,6,0,original,7,0
even,42,1,7,0,cyclic,8,0
even,42,1,8,0,utterly,9,0
even,42,1,9,0,cyclic,10,0
even,42,1,10,0,original,11,0
even,42,1,11,0,utterly,12,0
even,42,4,0,0,cyclic,1,0
even,42,4,1,1,cyclic,2,1
even,42,4,2,3,utterly,3,3
even,42,4,3,3,original,4,3
even,42,4,4,0,cyclic,5,0
even,42,4,5,1,original,6,1
even,42,4,6,2,cyclic,7,2
even,42,4,7,1,utterly,8,1
even,42,4,8,0,original,9,0
even,42,4,9,3,utterly,10,3
even,42,4,10,2,original,11,2
even,42,4,11,3,original,12,3
even,42,16,0,0,cyclic,1,0
even,42,16,1,1,cyclic,2,1
even,42,16,2,11,utterly,3,11
even,42,16,3,3,original,4,3
even,42,16,4,4,cyclic,5,4
even,42,16,5,5,original,6,5
even,42,16,6,6,cyclic,7,6
even,42,16,7,8,utterly,8,8
even,42,16,8,8,original,9,8
even,42,16,9,12,utterly,10,12
even,42,16,10,10,original,11,10
even,42,16,11,11,original,12,11
classic,1,1,0,0,cyclic,1,0
classic,1,1,1,0,original,2,0
classic,1,1,2,0,original,3,0
classic,1,1,3,0,utterly,4,0
classic,1,1,4,0,utterly,5,0
classic,1,1,5,0,original,6,0
classic,1,1,6,0,cyclic,7,0
classic,1,1,7,0,cyclic,8,0
classic,1,1,8,0,original,9,0
classic,1,1,9,0,utterly,10,0
classic,1,1,10,0,original,11,0
classic,1,1,11,0,original,12,0
classic,1,4,0,0,cyclic,1,0
classic,1,4,1,1,original,2,1
classic,1,4,2,2,original,3,2
classic,1,4,3,3,utterly,4,3
classic,1,4,4,0,original,5,0
classic,1,4,5,1,cyclic,6,1
classic,1,4,6,2,cyclic,7,2
classic,1,4,7,3,original,8,3
classic,1,4,8,1,utterly,9,1
classic,1,4,9,1,original,10,1
classic,1,4,10,2,original,11,2
classic,1,4,11,3,original,12,3
classic,1,16,0,0,cyclic,1,0
classic,1,16,1,1,original,2,1
classic,1,16,2,2,original,3,2
classic,1,16,3,15,utterly,4,15
classic,1,16,4,4,original,5,4
classic,1,16,5,5,cyclic,6,5
classic,1,16,6,6,cyclic,7,6
classic,1,16,7,7,original,8,7
classic,1,16,8,6,utterly,9,6
classic,1,16,9,9,original,10,9
classic,1,16,10,10,original,11,10
classic,1,16,11,11,original,12,11
classic,42,1,0,0,cyclic,1,0
classic,42,1,1,0,original,2,0
classic,42,1,2,0,cyclic,3,0
classic,42,1,3,0,cyclic,4,0
classic,42,1,4,0,original,5,0
classic,42,1,5,0,original,6,0
classic,42,1,6,0,original,7,0
classic,42,1,7,0,cyclic,8,0
classic,42,1,8,0,cyclic,9,0
classic,42,1,9,0,original,10,0
classic,42,1,10,0,original,11,0
classic,42,1,11,0,cyclic,12,0
classic,42,4,0,0,cyclic,1,0
classic,42,4,1,1,original,2,1
classic,42,4,2,2,cyclic,3,2
classic,42,4,3,3,cyclic,4,3
classic,42,4,4,0,original,5,0
classic,42,4,5,1,original,6,1
classic,42,4,6,2,original,7,2
classic,42,4,7,3,cyclic,8,3
classic,42,4,8,0,cyclic,9,0
classic,42,4,9,1,original,10,1
classic,42,4,10,2,original,11,2
classic,42,4,11,3,cyclic,12,3
classic,42,16,0,0,cyclic,1,0
classic,42,16,1,1,original,2,1
classic,42,16,2,2,cyclic,3,2
classic,42,16,3,3,cyclic,4,3
classic,42,16,4,4,original,5,4
classic,42,16,5,5,original,6,5
classic,42,16,6,6,original,7,6
classic,42,16,7,7,cyclic,8,7
classic,42,16,8,8,cyclic,9,8
classic,42,16,9,9,original,10,9
classic,42,16,10,10,original,11,10
classic,42,16,11,11,cyclic,12,11
none,1,1,0,0,utterly,1,0
none,1,1,1,0,utterly,2,0
none,1,1,2,0,utterly,3,0
none,1,1,3,0,utterly,4,0
none,1,1,4,0,utterly,5,0
none,1,1,5,0,utterly,6,0
none,1,1,6,0,utterly,7,0
none,1,1,7,0,utterly,8,0
none,1,1,8,0,utterly,9,0
none,1,1,9,0,utterly,10,0
none,1,1,10,0,utterly,11,0
none,1,1,11,0,utterly,12,0
none,1,4,0,0,utterly,1,0
none,1,4,1,3,utterly,2,3
none,1,4,2,0,utterly,3,0
none,1,4,3,3,utterly,4,3
none,1,4,4,2,utterly,5,2
none,1,4,5,1,utterly,6,1
none,1,4,6,2,utterly,7,2
none,1,4,7,0,utterly,8,0
none,1,4,8,1,utterly,9,1
none,1,4,9,3,utterly,10,3
none,1,4,10,0,utterly,11,0
none,1,4,11,2,utterly,12,2
none,1,16,0,0,utterly,1,0
none,1,16,1,15,utterly,2,15
none,1,16,2,4,utterly,3,4
none,1,16,3,11,utterly,4,11
none,1,16,4,15,utterly,5,15
none,1,16,5,7,utterly,6,7
none,1,16,6,6,utterly,7,6
none,1,16,7,2,utterly,8,2
none,1,16,8,1,utterly,9,1
none,1,16,9,12,utterly,10,12
none,1,16,10,2,utterly,11,2
none,1,16,11,7,utterly,12,7
none,42,1,0,0,utterly,1,0
none,42,1,1,0,utterly,2,0
none,42,1,2,0,utterly,3,0
none,42,1,3,0,utterly,4,0
none,42,1,4,0,utterly,5,0
none,42,1,5,0,utterly,6,0
none,42,1,6,0,utterly,7,0
none,42,1,7,0,utterly,8,0
none,42,1,8,0,utterly,9,0
none,42,1,9,0,utterly,10,0
none,42,1,10,0,utterly,11,0
none,42,1,11,0,utterly,12,0
none,42,4,0,1,utterly,1,1
none,42,4,1,3,utterly,2,3
none,42,4,2,1,utterly,3,1
none,42,4,3,2,utterly,4,2
none,42,4,4,1,utterly,5,1
none,42,4,5,3,utterly,6,3
none,42,4,6,0,utterly,7,0
none,42,4,7,2,utterly,8,2
none,42,4,8,1,utterly,9,1
none,42,4,9,2,utterly,10,2
none,42,4,10,0,utterly,11,0
none,42,4,11,1,utterly,12,1
none,42,16,0,7,utterly,1,7
none,42,16,1,11,utterly,2,11
none,42,16,2,7,utterly,3,7
none,42,16,3,10,utterly,4,10
none,42,16,4,7,utterly,5,7
none,42,16,5,14,utterly,6,14
none,42,16,6,4,utterly,7,4
none,42,16,7,8,utterly,8,8
none,42,16,8,10,utterly,9,10
none,42,16,9,7,utterly,10,7
none,42,16,10,0,utterly,11,0
none,42,16,11,1,utterly,12,1
